Title,URL,Authors,Journal,Year,Citations
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',"Authors : DPS Ratna, I RENI","RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',"Authors : DPS Ratna, TU Winda","Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',Authors : KSADS Phatale,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',Authors : FX Sumarja,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',"Authors : F Fitriadi, H Herpratiwi, D Yulianti, AGB Setiyadi, H Hariri, S Sunyono, ...","Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',"Authors : W Sumiati, H Hariri, R Rini, DA Sucitra","Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',"Authors : SM Simanjuntak, M Riniarti","Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',"Authors : BA Wijaya, M Riniarti, W Hidayat, H Prasetia, J Yoo, BB Park","Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',"Authors : S Susianti, S Bahri, S Hadi, A Setiawansyah, L Rachmadi, I Fadilah, ...","Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',"Authors : Y Yandri, D Noviani, H Ropingi, T Suhartati, B Irawan, S Hadi","Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',"Authors : DPS Ratna, I RENI","RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',"Authors : DPS Ratna, TU Winda","Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',Authors : KSADS Phatale,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',Authors : FX Sumarja,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',"Authors : F Fitriadi, H Herpratiwi, D Yulianti, AGB Setiyadi, H Hariri, S Sunyono, ...","Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',"Authors : W Sumiati, H Hariri, R Rini, DA Sucitra","Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',"Authors : SM Simanjuntak, M Riniarti","Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',"Authors : BA Wijaya, M Riniarti, W Hidayat, H Prasetia, J Yoo, BB Park","Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',"Authors : S Susianti, S Bahri, S Hadi, A Setiawansyah, L Rachmadi, I Fadilah, ...","Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',"Authors : Y Yandri, D Noviani, H Ropingi, T Suhartati, B Irawan, S Hadi","Pure and Applied Chemistry, 2025",2025,0 cited
